id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11018,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19691615.0,19691615.0,False,,1,,,,2024-04-29T04:45:00.000Z,62617.892760711984,18725590829.00402,6.5657,-0.06563061,-1.99425201,-4.70311438,-10.53413867,0.73783804,44.23366508,1233047436355.2275,53.0289,1314975747974.95,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
1027,Ethereum,ETH,ethereum,8875,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122054907.65624537,122054907.65624537,True,,2,,,,2024-04-29T04:44:00.000Z,3203.2623045177857,12459049871.511715,6.6095,0.04197226,-3.08086805,0.37912359,-8.50272035,-7.05381677,38.75383441,390973884776.65,16.8192,390973884776.65,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
825,Tether USDt,USDT,tether,84301,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,110562912298.67532,113086550461.62344,True,,3,,,,2024-04-29T04:44:00.000Z,0.999793117845592,38354694919.12731,2.1181,-0.00017801,0.03470964,-0.05424139,-0.07980148,-0.03834612,-0.00241136,110540038805.18135,4.7553,113063154872.43,,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-29 12:46:40.516578
1839,BNB,BNB,bnb,2152,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587939.3244506,147587939.3244506,False,,4,,,,2024-04-29T04:44:00.000Z,595.866974252313,700476951.1612418,3.6033,0.51445409,-0.35173729,-0.60565033,-2.10860478,44.2254864,91.65689067,87942778841.39433,3.7832,87942778841.39,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,447282338.52930415,574915965.1820111,True,,5,,,,2024-04-29T04:44:00.000Z,136.25516953139635,2048028250.1379313,1.1908,-0.07336116,-4.78987065,-9.83261884,-30.5966711,10.98583105,33.71792314,60944530864.70975,2.6222,78335272302.18,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
3408,USDC,USDC,usd-coin,18745,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33514568158.66267,33514568158.66267,False,,6,,,,2024-04-29T04:44:00.000Z,0.999942608085917,4288616631.790856,0.7495,0.00399168,-0.00861692,-0.0080224,-0.00957396,0.01428881,-0.00890935,33512644693.446377,1.4417,33512644693.45,,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-29 12:46:40.516578
52,XRP,XRP,xrp,1307,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55235913166.0,99987652657.0,False,,7,,,,2024-04-29T04:45:00.000Z,0.5076807340903623,697271600.9680889,14.6293,0.1807196,-2.74166171,-5.7035464,-18.91553481,-13.99917695,-5.25847854,28042208944.266388,1.2063,50768073409.04,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
74,Dogecoin,DOGE,dogecoin,958,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144079916383.70523,144079916383.70523,True,,8,,,,2024-04-29T04:45:00.000Z,0.1450010789847784,693688984.0244483,-5.0407,0.09494267,-3.11551558,-9.8208197,-31.39461743,15.83612712,78.15401094,20891743335.67391,0.8987,20891743335.67,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
11419,Toncoin,TON,toncoin,302,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3472469326.9632254,5105881814.267657,True,,9,3414166606.0,18324832908.526543,,2024-04-29T04:44:00.000Z,5.367293112270146,124308904.10612518,-13.3029,0.30604846,-1.6876584,-12.87905627,5.48633336,110.05735651,153.08876431,18637760701.17907,0.8018,27404764293.78,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
2010,Cardano,ADA,cardano,1157,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35643177363.312,36827102020.956,False,,10,,,,2024-04-29T04:44:00.000Z,0.4553630891823445,267924791.89877415,3.0972,-0.11845236,-3.44987796,-10.51938355,-30.78991008,-29.93759032,-13.99764418,16230587352.431965,0.6982,20491339013.21,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
